base_url,entity_text,structure_url,entity_name,rayon_name
https://www.gov.kz/memleket/entities/abay-urzhar-kokterek,abay-urzhar-kokterek,https://www.gov.kz/memleket/entities/abay-urzhar-kokterek/about/structure?lang=ru,ГУ Аппарат акима Коктерекского сельского округа района Мақаншы области Абай,abay-urzhar-kokterek
https://www.gov.kz/memleket/entities/abay-urzhar-koktal,abay-urzhar-koktal,https://www.gov.kz/memleket/entities/abay-urzhar-koktal/about/structure?lang=ru,Аппарат акима Коктальского сельского округа района Мақаншы области Абай,abay-urzhar-koktal
https://www.gov.kz/memleket/entities/abay-urzhar-karatuma,abay-urzhar-karatuma,https://www.gov.kz/memleket/entities/abay-urzhar-karatuma/about/structure?lang=ru,Аппарат акима Каратуминского сельского округа района Мақаншы области Абай,abay-urzhar-karatuma
https://www.gov.kz/memleket/entities/abay-urzhar-akshoky,abay-urzhar-akshoky,https://www.gov.kz/memleket/entities/abay-urzhar-akshoky/about/structure?lang=ru,Аппарат акима Акшокинского сельского округа района Урджар области Абай,abay-urzhar-akshoky
https://www.gov.kz/memleket/entities/abay-semey-zhienalin,abay-semey-zhienalin,https://www.gov.kz/memleket/entities/abay-semey-zhienalin/about/structure?lang=ru,Аппарат акима Жиеналинского сельского округа города Семей области Абай,abay-semey-zhienalin
https://www.gov.kz/memleket/entities/abay-semey-akbulak,abay-semey-akbulak,https://www.gov.kz/memleket/entities/abay-semey-akbulak/about/structure?lang=ru,Аппарат акима Акбулакского сельского округа города Семей области Абай,abay-semey-akbulak
https://www.gov.kz/memleket/entities/abay-semey-ozer,abay-semey-ozer,https://www.gov.kz/memleket/entities/abay-semey-ozer/about/structure?lang=ru,Аппарат акима Озерского сельского округа города Семей области Абай,abay-semey-ozer
https://www.gov.kz/memleket/entities/abay-semey-karaolen,abay-semey-karaolen,https://www.gov.kz/memleket/entities/abay-semey-karaolen/about/structure?lang=ru,Аппарат акима Караоленского сельского округа города Семей области Абай,abay-semey-karaolen
https://www.gov.kz/memleket/entities/abay-semey-kokentau,abay-semey-kokentau,https://www.gov.kz/memleket/entities/abay-semey-kokentau/about/structure?lang=ru,"ГУ ""Аппарат акима Кокентауского сельского округа района Жаңасемей области Абай""",abay-semey-kokentau
https://www.gov.kz/memleket/entities/abay-semey-ertis,abay-semey-ertis,https://www.gov.kz/memleket/entities/abay-semey-ertis/about/structure?lang=ru,Аппарат акима Иртышского сельского округа города Семей области Абай,abay-semey-ertis
https://www.gov.kz/memleket/entities/abay-semey-dostyk,abay-semey-dostyk,https://www.gov.kz/memleket/entities/abay-semey-dostyk/about/structure?lang=ru,"ГУ ""Аппарат акима Достыкского сельского округа района Жаңасемей области Абай""",abay-semey-dostyk
https://www.gov.kz/memleket/entities/abay-semey-ainabulak,abay-semey-ainabulak,https://www.gov.kz/memleket/entities/abay-semey-ainabulak/about/structure?lang=ru,Аппарат акима Айнабулакского сельского округа города Семей области Абай,abay-semey-ainabulak
https://www.gov.kz/memleket/entities/abay-aksuat-ekpin,abay-aksuat-ekpin,https://www.gov.kz/memleket/entities/abay-aksuat-ekpin/about/structure?lang=ru,Аппарат акима Екпинского сельского округа района Аксуат области Абай,abay-aksuat-ekpin
https://www.gov.kz/memleket/entities/abay-aksuat-qyzylkesek,abay-aksuat-qyzylkesek,https://www.gov.kz/memleket/entities/abay-aksuat-qyzylkesek/about/structure?lang=ru,Аппарат акима Кызылкесекского сельского округа района Аксуат области Абай,abay-aksuat-qyzylkesek
https://www.gov.kz/memleket/entities/abay-aksuat-yrghyzbai,abay-aksuat-yrghyzbai,https://www.gov.kz/memleket/entities/abay-aksuat-yrghyzbai/about/structure?lang=ru,Аппарат акима Ыргызбайского сельского округа района Аксуат области Абай,abay-aksuat-yrghyzbai
https://www.gov.kz/memleket/entities/abay-aksuat-satbaev,abay-aksuat-satbaev,https://www.gov.kz/memleket/entities/abay-aksuat-satbaev/about/structure?lang=ru,Аппарат акима Сатпаевского сельского округа района Аксуат области Абай,abay-aksuat-satbaev
https://www.gov.kz/memleket/entities/abay-aksuat-oishylyq,abay-aksuat-oishylyq,https://www.gov.kz/memleket/entities/abay-aksuat-oishylyq/about/structure?lang=ru,Аппарат акима Ойшиликского сельского округа района Аксуат области Абай,abay-aksuat-oishylyq
