base_url,entity_text,structure_url,entity_name,oblast_name,obl_type
https://www.gov.kz/memleket/entities/abay-makanshy,abay-makanshy,https://www.gov.kz/memleket/entities/abay-makanshy/about/structure?lang=ru,Аппарат акима района Мақаншы области Абай,abay,Oblast
https://www.gov.kz/memleket/entities/abay-zhanasemey,abay-zhanasemey,https://www.gov.kz/memleket/entities/abay-zhanasemey/about/structure?lang=ru,Акимат района Жаңасемей,abay,Oblast
https://www.gov.kz/memleket/entities/abay-aksuat,abay-aksuat,https://www.gov.kz/memleket/entities/abay-aksuat/about/structure?lang=ru,Аппарат акима района Аксуат,abay,Oblast
https://www.gov.kz/memleket/entities/abay-urzhar,abay-urzhar,https://www.gov.kz/memleket/entities/abay-urzhar/about/structure?lang=ru,Аппарат акима Урджарского района области Абай,abay,Oblast
https://www.gov.kz/memleket/entities/abay-kokpekti,abay-kokpekti,https://www.gov.kz/memleket/entities/abay-kokpekti/about/structure?lang=ru,Акимат Кокпектинского района,abay,Oblast
https://www.gov.kz/memleket/entities/abay-garma,abay-garma,https://www.gov.kz/memleket/entities/abay-garma/about/structure?lang=ru,Акимат Жарминского района,abay,Oblast
https://www.gov.kz/memleket/entities/abay-boroduliha,abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure?lang=ru,Акимат Бородулихинского района,abay,Oblast
https://www.gov.kz/memleket/entities/abay-beskaragay,abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure?lang=ru,Акимат Бескарагайского района,abay,Oblast
https://www.gov.kz/memleket/entities/abay-ayagos,abay-ayagos,https://www.gov.kz/memleket/entities/abay-ayagos/about/structure?lang=ru,Акимат Аягозского района,abay,Oblast
https://www.gov.kz/memleket/entities/abay-audany,abay-audany,https://www.gov.kz/memleket/entities/abay-audany/about/structure?lang=ru,Акимат Абайского района,abay,Oblast
https://www.gov.kz/memleket/entities/abay-kurchatov,abay-kurchatov,https://www.gov.kz/memleket/entities/abay-kurchatov/about/structure?lang=ru,Акимат города Курчатов,abay,Oblast
https://www.gov.kz/memleket/entities/abay-semey,abay-semey,https://www.gov.kz/memleket/entities/abay-semey/about/structure?lang=ru,Акимат города Семей,abay,Oblast
https://www.gov.kz/memleket/entities/aktobe-mugalzhar,aktobe-mugalzhar,https://www.gov.kz/memleket/entities/aktobe-mugalzhar/about/structure?lang=ru,Акимат Мугалжарского района,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-akt,aktobe-akt,https://www.gov.kz/memleket/entities/aktobe-akt/about/structure?lang=ru,Акимат города Актобе,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-shalkar,aktobe-shalkar,https://www.gov.kz/memleket/entities/aktobe-shalkar/about/structure?lang=ru,Акимат Шалкарского района,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-khobda,aktobe-khobda,https://www.gov.kz/memleket/entities/aktobe-khobda/about/structure?lang=ru,Акимат Кобдинского района,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-irgiz,aktobe-irgiz,https://www.gov.kz/memleket/entities/aktobe-irgiz/about/structure?lang=ru,Акимат Иргизcкого района,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-aitekebi,aktobe-aitekebi,https://www.gov.kz/memleket/entities/aktobe-aitekebi/about/structure?lang=ru,Акимат Айтекебийского района,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-alga,aktobe-alga,https://www.gov.kz/memleket/entities/aktobe-alga/about/structure?lang=ru,Акимат Алгинского района,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-uil,aktobe-uil,https://www.gov.kz/memleket/entities/aktobe-uil/about/structure?lang=ru,Акимат Уилского района,aktobe,Oblast
https://www.gov.kz/memleket/entities/aktobe-hromtau,aktobe-hromtau,https://www.gov.kz/memleket/entities/aktobe-hromtau/about/structure?lang=ru,Акимат Хромтауского района,aktobe,Oblast
